epoch,global_step,train_loss,train_action_loss,train_goal_loss,train_stage_loss,validation_loss,validation_action_loss,validation_goal_loss,validation_stage_loss,mean_gradient_norm,elapsed_s
1,95,0.2448813785063593,0.11724338645213529,0.008987069683835695,0.6224625767845856,0.19041396113409512,0.07165724686090497,0.004427781372560539,0.5860349373195483,0.6244505145047841,9.924840400002722
2,190,0.09115889193980317,0.05002126168263586,0.003624704319640602,0.1993449131124898,0.16045922846033953,0.05353897905436115,0.003274739928327609,0.5288704288869664,0.5277397249874316,8.769747199999983
3,285,0.0686769971329915,0.0392704523707691,0.002731145846069251,0.1422532170618835,0.14366887997889866,0.04754081579654113,0.0027222432090860346,0.47587636809418166,0.5145848655386975,8.99913640000159
4,380,0.05761149639361783,0.03420346498881516,0.0023843357180196203,0.11286756664906678,0.13371564547220866,0.04182624911484511,0.0026231631372069966,0.45485644893369814,0.5105815859217393,8.762001700000837
5,475,0.046974762254639674,0.0297360938630606,0.0022770017532533723,0.08220858569992216,0.13288477324057316,0.038911539005196616,0.002532559124941843,0.4654341935420382,0.46269468696493854,8.889540700001817
6,570,0.04302187026723435,0.027609950715773983,0.00207006663427149,0.07343697994947433,0.1257120250618976,0.040165178745553115,0.0022153087594694847,0.4238574315499568,0.4617022404545232,8.788799900001322
7,665,0.03870560430774563,0.02629499704037842,0.002091865649593896,0.05839227051719239,0.12418081138444984,0.0411140332273815,0.002209528572587431,0.41146719151648925,0.4022878486859171,8.833981700001459
8,760,0.034304366711723176,0.023015649018711164,0.00198729602791565,0.05296582008564943,0.11633487141650656,0.03705936346796976,0.002126850999918753,0.39265553785407026,0.3847791257657503,8.903272700001253
9,855,0.03161369220990884,0.021291865094711905,0.0018535101087763905,0.048365491261019515,0.12411289218543232,0.035096399784088135,0.0019396947821656216,0.44168797866157866,0.4126949024827857,9.20803259999957
10,950,0.030882341375476435,0.021458750816160128,0.0018047239325058304,0.04395968444939507,0.11739140904468039,0.03773251047600871,0.0022727468762330817,0.39431719700495405,0.38963288366794585,8.7759475999992
11,1045,0.028012564768524546,0.019711466506123543,0.0017266868307304224,0.038483788577937765,0.1185792889456818,0.03620058441507643,0.0017311407448858886,0.40886402816012285,0.34391524297626397,9.145726099995954
12,1140,0.026449841986361303,0.018150636945900165,0.0016886270935892274,0.038540926708006545,0.11780406193456788,0.039542354181192924,0.001773387504728052,0.38820509164229683,0.3510934146611314,9.315991800001939
